text,label
STOCKS AT THE CLOSE: - Dow up 0.39%  - Nasdaq up 0.16%  - S&P up 0.21% https://t.co/ZVCOMpinC3,1
Everything Is Broken: The Most Profitable Trade Since 1993 Is Now Upside Down  https://t.co/gcsFDy6iFd,0
Futures back off after four-day rally ahead of crucial jobs report,0
Power Financial shares jump on buyout offer by parent,1
$PANW - Palo Alto Networks: A Decent Buy After The Sharp Fall. https://t.co/ItlBcYIBXj #markets #stocks #finance,1
Dunkin' Brands Accelerates Growth Into 2020,1
Canadian National Laying Off Workers,0
Qiwi +4.1% after Q3 beat-and-raise,1
Dropbox on watch after stinging Spruce Point report,0
Energy Up As Exxon Cuts CapEx Spending -- Energy Roundup #economy #MarketScreener https://t.co/pZc2wlKsXZ https://t.co/TX2jWQyK1m,1
AbbVie Q4 EPS $1.88 vs. loss per share $1.23,1
"Voya Q4 beats, sees 10% normalized EPS growth in 2020, 2021",1
Hours worked in fourth quarter increase 1.1%,1
3Y Auction Tails On Muted Buyer Demand Despite Unlimited Fed QE  https://t.co/5jkVn4FpFL,0
$KHC (+4.2% pre) Kraft Heinz stock rises on expected first-quarter sales gain - MW  https://t.co/hYupgnRQ86,1
Satellite stock Intelsat drops 40% after FCC 5G decision,0
$APDN Patience is key. Good news + strong accumulation. Let the weak hands sell.,1
$PYPL - PayPal's Stock May Be Heading For A Year-End Rally. Get more updates here: https://t.co/sCypU862qM #trading #business #economy,1
$ENB $CVE $IMO - Top Canadian oil producers foresee further cuts https://t.co/HuHcdWnFGd,0
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0
Royal Caribbean downgraded to sell from buy at CFRA,0
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0
How did the vaping industry go from viral status to crisis control? https://t.co/CiqLPt4SbB,0
"Breaking Out of a Four-Month Stretch, Visa Stock Can Reach $200 - Investorplace.com",1
Consumer sentiment up in Decemeber https://t.co/sM9ApsEGnK,1
Tapestry Q2 EPS $1.08 vs. 88 cents a year ago,1
"Total beats quarterly forecasts despite low oil price, raises payout",1
U.S. stocks are 📈 https://t.co/2cVbN4AIF4 https://t.co/iAQJgLcbR6,1
"Highlight: Cruise stocks are rallying. ""The industry has done a total 180 in the last few months,"" @cfraresearch's… https://t.co/oTvX5UGlnh",1
"AUD/USD, NZD/USD, USD/CNY – Greenback Showing Slight Gains",1
"James Dinsmore attributes Bancroft Fund's unusually strong 2019 to falling rates, judicious use of leverage and a m… https://t.co/BBrBuvoWD9",1
StoneCo allayed some investor concerns over competition with solid growth https://t.co/2JD5cA71d1,1
"Wetherspoon plans new pubs around Britain, creating 10,000 jobs https://t.co/2VCkehRW9s https://t.co/naZskECdpp",1
"This $3B biotech has been a three-bagger since November, and it still has upside",1
Mine Delays in China Are Buttressing Beleaguered Coal Bulls,0
"FTC's Look Into Facebook A 'Negative Development,' Says RBC's Mahaney",0
$AMTD (+1.3% pre) Charles Schwab $SCHW to buy TD Ameritrade in $26 billion all-stock deal - Reuters  https://t.co/KGPqP2jfkW,1
S&P Global stock price target raised to $322 from $274 at Stifel Nicolaus,1
"The global economy and earnings will stabilize in 2020, allowing riskier assets to flourish even with central banks… https://t.co/pWimpjtCke",1
"Here's how Tesla stock swings 18% higher, trader says $TSLA (via @TradingNation) https://t.co/yqzfmfwbGP",1
$MDCO (+22.6% pre) Novartis $NVS to Swallow Up The Medicines Company for $9.7 Billion - TheStreet  https://t.co/vH7LO4WqmY,1
$ROKU - Roku jumps as optimism builds for earnings https://t.co/S39VAbxjmW,1
Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,1
NTPC Q3 Results: Profit Meets Estimates As Other Income Rises,1
Tesla shares are back on the rise after the electric-car maker resumed production at its China factory with the hel… https://t.co/Kjl7Nm0BQS,1
Vans parent VF Corp. says China stores still open have seen 'significant' declines in retail traffic,0
Virus uncertainty weighs on global shares - NEWS.com.au,0
After a early morning mishap on $SPY $ZM taking control here with $BA $AAPL $AMZN. $SPY $ZM both would be wins now too.,1
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0
Stocks Are Going Nowhere as Hope for a China Trade Deal Wavers - Barron's,0
$TRNX Taronis Q4 Fuels Generates Sales $11M,1
$CPST - Eagle Ford producer orders another Capstone C800S https://t.co/dhi3LiIgx7,1
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0
"$AHC - A. H. Belo halves dividend, cuts capital spending to below $1M https://t.co/Umq8VBgJaZ",0
"""I’ve owned the Apple Card for 3 months…this is why it sucks."" https://t.co/ngzSpdvFPK",0
Gundlach: Trouble Brewing In Debt Markets As The 'Real Turmoil' Is Only Beginning https://t.co/V0muhfT6dX,0
"U.S. interest lifts shares in Huawei rivals Ericsson, Nokia",1
Canopy Growth stock up 2.7% premarket,1
Hedge Funds Are Dumping Ocwen Financial Corporation (OCN),0
"Hyundai Motor, Kia Motors to keep Chinese factories idled until February 16",0
"Highlight: 'January has been very warm ” it has had a negative impact on a lot of stocks,â€ @Jefferies Analyst TJ Th... https://t.co/BEi2z75YWw",0
Fewer international students are coming to the United States. That's cost the US economy $11.8 billion and more tha… https://t.co/bvewZMLka7,0
Eli Lilly to create 100 jobs in Indianapolis as it adds capacity to its technology center campus,1
$SCANX: Small cap notable movers of interest -- The Buckle (BKE) gains following third quarter press https://t.co/SCCFgUKKHY,1
DOT watchdog probes pilot training requirements after Boeing 737 Max crashes https://t.co/e59aKdBi3e,0
Oil resumes decline as investors monitor back-and-forth trade talks https://t.co/r4osnZxz0s,0
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0
"Ending joint filing would lead to a 15.5 percentage point jump in women's labor-force participation, the IMF found… https://t.co/5PW14HOPY2",1
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0
$LULU - Market Expects Good Earnings For Lululemon. Keep reading: https://t.co/vG3YYZshzX #economy #stockmarket #investing,1
"After Growing 16% In 2 Years, Why Did Lowe’s Number Of Stores Decrease?",0
"Mid-Morning Market Update: Markets Open Higher; Schwab, TD Ameritrade Confirm $26B Merger",1
South Africa could fall deeper into junk territory after S&P cut the outlook on its assessment of the nation’s debt… https://t.co/ESBc1kS0JG,0
"$RE - Everest Re Group EPS beats by $0.62, beats on revenue https://t.co/3aNCFnmoIl",1
DLH Holdings maintained as buy with $7 price target at Canaccord,1
Overbought stock market pauses after this week's rally,0
JPMorgan out bullish on Uber's upside potential,1
Lumber Liquidators +4% after USTR determination,1
$DDS $M $KSS - Department store stocks bounce off lows https://t.co/Kk4vN35Ms1,1
"S&P 500, Nasdaq close at record highs; Dow ends up over 170 points https://t.co/tpdD8wcWWR",1
U.S. Retail Sales Miss Forecasts as Restaurants Decline,0
"Aurora Cannabis extends premarket losses, now down 5%",0
$AVLR - Avalara: Buy This Leader In The Tax Automation Trend. https://t.co/lqeMIiPUxZ #economy #stockmarket #markets,1
Apple Averted An iPhone Fiasco With Phase 1 Trade Deal,1
Cabot upgraded to buy from neutral at UBS,1
Extreme Networks board authorizes $100 mln share buyback,1
China's Need To Import LNG Is Slowing Down. https://t.co/lnpKUyNtQr #stocks #stockmarket #trading,1
Urban Outfitters stock down 9% after Q3 results,0
Norwegian Air's January passenger income jumps,1
"TUNE IN: Tesla's bull run is just getting started, says Ark's Cathie Wood. Watch #WallStreetWeek live today at 6pm... https://t.co/DvWmT4j4f5",1
"Willis Towers Watson EPS beats by $0.04, beats on revenue",1
"Lower oil prices typically boost global growth, but the recent decline to an 18-year low will likely provide less s… https://t.co/flxCWZiS0Z",0
Canadian oil shipments are getting snarled once again https://t.co/guijP0gyAR,0
$OPK EOD rally !!!,1
$CLVS the squeeze continues........ https://t.co/Rwl6bjFKCp,1
"Toyota lifts annual profit forecast, looking at alternate sources for China-made parts",1
China’s Coronavirus Set To Dampen Economic Growth In The United States,0
Treasury yields pare decline after January jobs report,1
$MATX (+0.0% pre) Matson (MATX) withdraws its financial outlook for the full year 2020 - SI  https://t.co/EjIfTP1dYJ,1
Stock Market Update: On Track for More Records,1
Macy's Q3 EPS 1 cent vs. 20 cents,0
Intelsat lower after Morgan Stanley target cut,0
President Trump reportedly walks away from vaping ban,1
"$ASPU - Aspen EPS beats by $0.04, beats on revenue https://t.co/ofwVhc5WIa",1
Myovant stock soars 17% premarket on news of positive late-stage trial of prostate cancer treatment,1
"Airbus will pay around $4 billion to settle corruption probes by the U.S., British and French authorities into cont... https://t.co/EMakbF7H9G",1
"Federal Reserve Chairman Jerome Powell said the U.S. economy is 'resilient,' even as he cited the potential threat… https://t.co/jdypDu2LhY",1
Surprise German Factory Order Slump Shows Worst Isn't Over,0
Viasat +5% as JPMorgan raises to Overweight,1
STOCKS NOW: - Dow up 704.83 points  - Nasdaq up 165.39  - S&P up 72.15,1
China suspends planned tariffs scheduled for December 15 on some U.S. goods,1
Luminex Q4 cash flow up 24%; shares slip 1% after hours of soft Q1 outlook,0
"Vodafone Idea, Bharti Rally on Plan to Increase Mobile Tariffs",1
Stock Market Update: TJX remains bright spot in retail space today,1
"The next downturn will be a ""smorgasbord recession,"" Paul Krugman said. https://t.co/YKmxl5IlL8",0
"Teens could be a saving grace for malls, new research says https://t.co/4Rr0NF6Awq",1
"Twitter, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",1
Amazon to create 500 new jobs in Mississippi as it builds new fulfillment center,1
"$ZGNX big move w/ news this morning, name with size Jan and Apr bullish call OI",1
$PXGYF - PAX Global Technology: A No-Brainer Investment. Read more: https://t.co/K0St5t9tTc #business #markets #trading,1
"A new WTO ruling is allowing for $7.5 billion in tariffs on EU goods, meaning your favorite French wine is about to… https://t.co/3YeRmxas8m",0
Walmart has announced that it plans to open 500 new stores in China over the next five to seven years. That would m… https://t.co/u6Y0TKU2Ss,1
$SCANX: Gapping down https://t.co/hv5ZhR20Ye,0
$CGC - Canopy Growth: Falling Apart During Leadership Void. Get more info on Seeking Alpha: https://t.co/xK2vMWA8zf… https://t.co/0RjRrtJ2RK,0
Fed's Kaplan: Inflation Will Be Muted For Some Time (Radio),1
California sues Juul,0
"$TSLA - Tesla's New Pickup Is Ugly, Sell; Also Week-End Rally Pattern Holding But Weakly. Get more updates here:… https://t.co/5w5TEy85xb",0
$PAYC broke out of its cup base (259.71 std pivot) on heavy volume. Watch for continuation or if it forms a high ha… https://t.co/bJfFfWfLL5,1
"Munster Doubles Down, Says Apple Has 40% Upside This Year",1
U.S. farms face crop losses due to foreign worker delays #economy #MarketScreener https://t.co/iwMpBCyP52 https://t.co/pb8NNtZRea,0
Yum Brands Q4 revenue $1.69 bln vs. $1.56 bln; FactSet consensus $1.81 bln,1
St. Louis Fed Financial Stress Index declines to -1.319 in the latest reading (normal stress=0). See the longer-ter… https://t.co/9wIeq3gMYs,1
Gold firms ahead of tariff deadline and central bank decisions https://t.co/EZFDczi5P9 https://t.co/kE9ngOnIBA,1
Energy Stock Carnage Sets Up ‘Rinse and Repeat’ Start to 2020,0
Global stock rally spurs selloff of Treasurys ahead of benchmark debt auction https://t.co/DqNyYNisgU,0
"UK lawmaker blames HSBC, Standard Chartered, Bank of Baroda in South Africa corruption",0
Royal Mail Labor Trouble Throws Long-Term Targets Into Jeopardy,0
Cigna +3% on Q4 beat,1
Why Tallgrass Energy's Stock Is Taking Flight Today,1
The Big Picture: No fundamental reason for 2019 holiday sales to disappoint $SPY-- https://t.co/w4dAzYCmAz… https://t.co/CNY9CEJica,1
Kohl's warning sends J.C. Penney and Dillard's lower,0
India IIP Data: Industrial Production Contracts 3.8% In October ,0
$SFTBF $SFTBY $UBER - SoftBank Vision Fund's Uber stake is up 18% https://t.co/RBSJpE2oV8,1
Volkswagen reveals exotic-sounding ID. Space Vizzion electric wagon at Los Angeles Auto Show,1
"Natural Gas $UNG with a bounce today seeing 28,000 March $14 calls active early today",1
Retail sales growth softens,0
"Markets may get a boost from cheery Black Friday consumer sentiment, seasonal strength https://t.co/lfeWPLi1Vc",1
Final-hour selloff costs stocks all their gains Tuesday as the Dow ends down 35 https://t.co/Zvu8yqqkzg,0
Revance files U.S. application for frown line treatment; shares up 3% premarket,1
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1
Loonie dips as Bank of Canada official points out uncertainties,0
PennMac Financial rises to record as Piper gets more bullish,1
"Home Depot cuts 2019 forecast after sales miss, shares drop",0
"$T (+3.6% pre) AT&T adds $5.5 billion term loan to already 'strong' cash position, expects to keep paying dividend… https://t.co/4VnroSfbYF",1
$SFIX Bullish options flow and a nice setup. Breakout watch over 24.45 https://t.co/eiyX74lImP,1
"January jobs report: Economy adds 225,000 payrolls, unemployment rate ticks up to 3.6%",1
Eurozone Manufacturing Recession Although Not The Eurozone As A Whole. https://t.co/f9kKcyjte6 #markets #economy #finance,0
Finablr : Ransomware-hit Travelex says it has recovered its UK website #Finablr #Stock #MarketScreener... https://t.co/DjDq3E2hNe,1
$MRK (+1.2% pre) FDA accepts Merck application for expanded use of Keytruda - SA  https://t.co/Tn7E9dc7Ta,1
UK watchdog probing Google-Looker deal,0
"Stock Market Update: Macy's shares slide on retail weakness, potential credit card breach",0
"Microsoft : Zoom shares slip over security concerns, rising competition #Microsoft #Stock #MarketScreener… https://t.co/NPFlQNuvrh",0
$1 gasoline is back -- and it's a terrible sign for the economy https://t.co/4WRKl5WZ4N,0
"Customer Complaints Spike In FY19, Up 50% In Three Years, Says RBI Report",0
$GTT: Cowen cuts to Market Perform,0
Stocks Suffer 'Shocking' Down Week As Fed Balance Sheet Unexpectedly Shrinks https://t.co/bspsRi3Wow,0
"Hedge Funds Are Crazy About PC Connection, Inc. (CNXN)",1
JUST RELEASED: Oil Price Dynamics Report Oil prices fell over the past week owing to increased supply.… https://t.co/jmRAgMxruU,0
"Papa John's founder sues ad agency; his wife files for divorce, saying marriage is 'broken' https://t.co/Hc10XTgidf",0
Copa Holdings stock price target raised to $130 from $103 at Deutsche Bank,1
"Morgan Stanley upgrades Nvidia to buy, predicting 2020 will be 'a return to solid growth' https://t.co/9gTGxKbSGj",1
Macy’s Slumps as Website Hack Adds to Department-Store Malaise,0
Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,1
J.C. Penney Again at Risk Of NYSE Delisting,0
Job Openings Smash Expectations In Delayed JOLTS Report  https://t.co/7tHGcCcxei,1
Sinclair Broadcast -1.9% as Stephens cuts target,0
$TRQ - Turquoise Hill: Strong Headwinds Ahead Of 2020. https://t.co/hIdbSHXWA7 #trading #business #finance,0
U.S. stocks open higher https://t.co/BejHsM6lkv https://t.co/mrgV8q38Wz,1
"Stifel Upgrades Wendy's, Bullish On Breakfast And Digital Prospects",1
"Stocks edge higher, but S&P 500 ends six-week streak of weekly gains https://t.co/hMPzjhuNPn",1
Shares of Biolidics Ltd. jumped as the Singapore-based medical device manufacturer said its rapid test kits for Cov… https://t.co/INn1rxDCmg,1
"Household debt jumps the most in 12 years, Federal Reserve report saysÂ https://t.co/kmqxVS6co3",0
Tesla shares dropped after a botched unveiling of its long-awaited Cybertruck. A demonstration of the truck's suppo… https://t.co/8fo3jp9Dam,0
Rising Short Interest Has Primed The Pumps For A Reversal In Energy ETFs. https://t.co/a1vhrYjPvB #business #investing #markets,0
"U.S. economy is in a contraction, says Larry Kudlow, adding that it could reopen in four to eight weeks https://t.co/W2mMm5MIVH",0
Investors cheered the blockbuster November jobs report https://t.co/CgSzMYRjdY,1
Evoke Pharma up 32%,1
$EDU - New Oriental -4% after rival discloses employee wrongdoing https://t.co/KWUtDIdiBI,0
"Hedge Funds Have Never Been More Bullish On MGE Energy, Inc. (MGEE)",1
"""A Once In A Decade Divergence"" Warns This Global Macro Fund https://t.co/q2i7nMOsdB",0
"Stock Market Update: Stock market opens slightly higher, energy stocks pull back",1
S&P 500 and Down down 0.1%,0
$CMCSA $LHX - Comcast sues L3Harris in patent dispute https://t.co/kWReshGbvz,0
$PLNT - Planet Fitness: Strong Growth Continues. Read more and get updates on any stock! https://t.co/qepXOQA8V5 #business #trading #markets,1
"U.S. Stocks Give Back Gains, End Modestly Lower #SP500 #index #MarketScreener https://t.co/Y5UaaU0lic https://t.co/sduR7dQRz9",0
Gold futures gain 1.1% for the week,1
Brent crude climbs after OPEC and its allies confirmed the new production pact https://t.co/hnnEhZkHRy,1
$WDFC: WD-40 increases quarterly dividend to $0.67/share from $0.61/share https://t.co/lvVJiY3dyo,1
We Think Hudson Global (NASDAQ:HSON) Can Easily Afford To Drive Business Growth,1
"Stock Market Update: Futures extend rally, China says it will cut some tariffs",1
"JUST IN: For the first time since January, orders for Boeing’s troubled 737 Max airplanes incrementally rose last m… https://t.co/myUZbIwzbP",1
Estee Lauder Q2 EPS $1.52 vs. $1.55 a year go,0
Humana stock price target raised to $363 from $319 at Deutsche Bank,1
$NVTA - Invitae launches enhanced telemedicine; shares up 6% premarket https://t.co/MZ5cxd40rH,1
Gold prices settle higher for a second straight session,1
Baltic Dry Index sheds 5%,0
"$RDS.A $RDS.B - Shell: The End Of Oil And Gas Is Not Near, And Investors Can Benefit From A High Yield. Read more a… https://t.co/0EMJcv65yX",1
$NGM $NGM $ICPT - Big partner boosts biotech with 120% upside - Raymond James https://t.co/sqrqPvLRC9,1
"From record Cyber Monday sales to a blowout jobs report, these are this week's top stories: https://t.co/wgTzrA4pJC https://t.co/IfD2sLowPk",1
"First-time U.S. jobless claims drop to 202,000",1
STOCKS NOW: - Dow up 4.73 points  - Nasdaq up 17.91  - S&P up 2.04  Here's what's moving markets:  https://t.co/Yw7HqPotMT,1
EUR/USD Daily Forecast – Euro Rally Halted at Major Resistance,0
Gold has surged this year thanks to the trade war and rate cuts. Analysts say 2020 may bring more rewards.… https://t.co/t85Oydg8Bl,1
"Hedge Funds Have Never Been This Bullish On Construction Partners, Inc. (ROAD)",1
"$GPRE - Green Plains EPS beats by $0.15, beats on revenue https://t.co/CjP6xNSRUg",1
Hopes Dim for Broad Deal on Global Carbon Market at UN Talks,0
Pareteum +8% after CEO termination,1
"Feb. gold climbs by 10 cents, or 0.01%, to settle at $1,480.60/oz",1
OPEC Delivers Bigger Cut With ABS Surprising The Market. Get more info on Seeking Alpha: https://t.co/wi5cTW6c7D… https://t.co/m97WCjZsoA,1
"Yum Brands misses same-store sales, profit estimates as Pizza Hut battles rivals",0
Huawei initiates legal action against Verizon,0
